#(-0.3793, 10.8099) Lat/Lon, near Garu
Time,Lai
"Jul 4, 2002",32
"Jul 8, 2002",24
"Jul 12, 2002",18
"Jul 16, 2002",62
"Jul 20, 2002",
"Jul 24, 2002",23
"Jul 28, 2002",
"Aug 5, 2002",
"Aug 9, 2002",8
"Aug 13, 2002",
"Aug 17, 2002",
"Aug 21, 2002",28
"Aug 25, 2002",8
"Aug 29, 2002",10
"Sep 2, 2002",31
"Sep 6, 2002",6
"Sep 10, 2002",5
"Sep 14, 2002",39
"Sep 18, 2002",20
"Sep 22, 2002",26
"Sep 26, 2002",20
"Sep 30, 2002",12
"Oct 4, 2002",20
"Oct 8, 2002",15
"Oct 12, 2002",17
"Oct 16, 2002",14
"Oct 20, 2002",20
"Oct 24, 2002",10
"Oct 28, 2002",15
"Nov 1, 2002",13
"Nov 5, 2002",12
"Nov 9, 2002",10
"Nov 13, 2002",7
"Nov 17, 2002",6
"Nov 21, 2002",5
"Nov 25, 2002",4
"Nov 29, 2002",4
"Dec 3, 2002",5
"Dec 7, 2002",5
"Dec 11, 2002",4
"Dec 15, 2002",5
"Dec 19, 2002",5
"Dec 23, 2002",5
"Dec 27, 2002",3
"Dec 31, 2002",4
"Jan 1, 2003",3
"Jan 5, 2003",4
"Jan 9, 2003",3
"Jan 13, 2003",2
"Jan 17, 2003",3
"Jan 21, 2003",1
"Jan 25, 2003",2
"Jan 29, 2003",2
"Feb 2, 2003",2
"Feb 6, 2003",3
"Feb 10, 2003",3
"Feb 14, 2003",2
"Feb 18, 2003",4
"Feb 22, 2003",3
"Feb 26, 2003",4
"Mar 2, 2003",4
"Mar 6, 2003",4
"Mar 10, 2003",3
"Mar 14, 2003",6
"Mar 18, 2003",5
"Mar 22, 2003",6
"Mar 26, 2003",4
"Mar 30, 2003",7
"Apr 3, 2003",5
"Apr 7, 2003",6
"Apr 11, 2003",5
"Apr 15, 2003",8
"Apr 19, 2003",8
"Apr 23, 2003",9
"Apr 27, 2003",7
"May 1, 2003",7
"May 5, 2003",6
"May 9, 2003",7
"May 13, 2003",6
"May 17, 2003",7
"May 21, 2003",6
"May 25, 2003",7
"May 29, 2003",5
"Jun 2, 2003",7
"Jun 6, 2003",8
"Jun 10, 2003",6
"Jun 14, 2003",9
"Jun 18, 2003",14
"Jun 22, 2003",13
"Jun 26, 2003",3
"Jun 30, 2003",7
"Jul 4, 2003",16
"Jul 8, 2003",18
"Jul 12, 2003",9
"Jul 16, 2003",13
"Jul 20, 2003",3
"Jul 24, 2003",6
"Jul 28, 2003",7
"Aug 1, 2003",
"Aug 5, 2003",11
"Aug 9, 2003",35
"Aug 13, 2003",5
"Aug 17, 2003",19
"Aug 21, 2003",
"Aug 25, 2003",15
"Aug 29, 2003",18
"Sep 2, 2003",17
"Sep 6, 2003",12
"Sep 10, 2003",15
"Sep 14, 2003",10
"Sep 18, 2003",7
"Sep 22, 2003",27
"Sep 26, 2003",21
"Sep 30, 2003",23
"Oct 4, 2003",18
"Oct 8, 2003",19
"Oct 12, 2003",17
"Oct 16, 2003",21
"Oct 20, 2003",20
"Oct 24, 2003",20
"Oct 28, 2003",19
"Nov 1, 2003",16
"Nov 5, 2003",13
"Nov 9, 2003",14
"Nov 13, 2003",14
"Nov 17, 2003",9
"Nov 21, 2003",8
"Nov 25, 2003",10
"Nov 29, 2003",8
"Dec 3, 2003",3
"Dec 7, 2003",3
"Dec 11, 2003",5
"Dec 15, 2003",4
"Dec 23, 2003",3
"Dec 27, 2003",5
"Dec 31, 2003",4
"Jan 1, 2004",4
"Jan 5, 2004",3
"Jan 9, 2004",4
"Jan 13, 2004",5
"Jan 17, 2004",3
