4	4	3	4	2	4	3	3	4	5	4	3	5	4	5	3
4	3	3	3	3	4	4	5	3	3	3	3	4	3	3	3
2	3	3	3	3	3	4	3	3	4	3	3	4	4	5	3
3	4	3	4	3	4	4	3	4	3	3	4	3	3	4	3
3	3	3	4	3	3	4	3	4	3	3	3	4	3	4	4
3	3	3	3	3	3	3	4	3	3	4	3	4	3	3	4
3	3	3	3	3	3	2	6	3	3	3	3	4	3	4	4
3	4	2	3	3	3	3	3	3	4	3	4	3	4	3	4
3	2	2	3	3	3	3	3	4	4	4	3	3	3	3	3
3	3	3	3	3	3	3	4	4	3	4	3	3	3	3	4
4	3	3	3	3	3	3	4	4	3	4	4	4	5	3	4
3	3	3	4	2	3	3	4	5	5	5	4	4	6	4	2
5	4	3	5	4	4	5	5	5	4	5	4	4	7	5	3
5	4	3	3	3	3	5	3	4	4	6	4	4	9	4	5
6	6	3	4	5	5	5	4	4	6	6	3	4	9	5	5
6	7	3	7	7	3	5	5	5	6	6	5	4	7	5	5
5	6	3	5	3	4	7	4	5	8	8	6	4	7	5	5
5	7	4	3	7	4	7	4	5	10	8	8	3	9	7	6
6	8	5	8	7	4	7	5	7	11	7	7	4	11	7	6
7	9	5	7	7	7	7	6	7	11	8	7	6	10	8	7
8	8	6	7	11	8	8	7	7	9	8	11	7	8	8	9
9	10	8	11	8	9	14	8	9	5	7	11	7	14	14	6
9	10	11	11	10	13	13	6	10	10	13	14	8	6	10	9
14	11	29	10	8	14	11	12	9	9	10	11	12	11	7	7
11	10	15	14	9	12	14	8	10	10	10	4	9	11	15	14
15	16	15	20	5	20	16	7	10	14	5	7	7	9	6	15
5	7	14	8	5	14	11	7	13	15	14	6	25	8	14	16
11	11	17	12	12	17	6	15	12	11	11	6	16	12	15	20
14	12	23	16	17	20	5	18	9	18	11	14	9	14	17	15
17	17	20	11	3	11	19	10	16	16	10	17	5	12	14	13
16	18	9	16	11	17	10	25	2	8	21	16	6	21	3	8
21	20	18	14	12	19	15	19	3	19	18	12	19	15	15	19
19	19	22	12	22	7	13	13	18	14	20	17	20	23	21	20
19	20	20	20	19	19	19	24	17	24	21	18	22	19	17	18
19	19	13	23	17	16	16	20	20	18	17	19	20	19	25	22
20	17	19	19	19	17	19	28	17	17	20	17	23	17	17	20
19	11	12	17	14	18	17	21	17	17	16	15	19	14	17	17
17	7	11	15	13	16	15	16	14	12	11	13	15	13	10	14
12	7	8	11	11	12	10	12	12	13	8	10	14	8	9	10
11	6	5	7	7	9	9	12	8	10	7	7	7	7	6	8
8	5	6	6	7	7	7	7	8	7	6	6	7	6	7	5
7	4	5	5	5	6	6	7	5	5	5	5	7	6	5	6
5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	4	5	5	5	5	5	6	4	5	4	5	5	5	4	5
4	4	4	5	4	4	5	5	5	4	5	4	4	4	4	5
5	3	5	4	5	3	4	5	4	4	4	5	4	5	3	5
